"CRASH DATE","CRASH TIME","BOROUGH","ZIP CODE","LATITUDE","LONGITUDE","LOCATION","ON STREET NAME","CROSS STREET NAME","OFF STREET NAME","NUMBER OF PERSONS INJURED","NUMBER OF PERSONS KILLED","NUMBER OF PEDESTRIANS INJURED","NUMBER OF PEDESTRIANS KILLED","NUMBER OF CYCLIST INJURED","NUMBER OF CYCLIST KILLED","NUMBER OF MOTORIST INJURED","NUMBER OF MOTORIST KILLED","CONTRIBUTING FACTOR VEHICLE 1","CONTRIBUTING FACTOR VEHICLE 2","CONTRIBUTING FACTOR VEHICLE 3","CONTRIBUTING FACTOR VEHICLE 4","CONTRIBUTING FACTOR VEHICLE 5","COLLISION_ID","VEHICLE TYPE CODE 1","VEHICLE TYPE CODE 2","VEHICLE TYPE CODE 3","VEHICLE TYPE CODE 4","VEHICLE TYPE CODE 5"
2024-02-02,19:30:00,NA,NA,40.84603,-73.93034,"(40.84603, -73.93034)","CROSS BRONX EXPY",NA,NA,4,0,0,0,0,0,4,0,"Failure to Yield Right-of-Way","Unspecified",NA,NA,NA,4701365,"Tractor Truck Diesel","Sedan",NA,NA,NA
2024-02-08,17:40:00,NA,NA,40.68425,-73.86257,"(40.68425, -73.86257)","ATLANTIC AVENUE","77 STREET",NA,1,0,0,0,0,0,1,0,"Driver Inattention/Distraction","Unspecified",NA,NA,NA,4701781,"Sedan","Concrete Mixer",NA,NA,NA
2024-02-08,09:33:00,"BROOKLYN",11223,40.59729,-73.961105,"(40.59729, -73.961105)",NA,NA,"2443      CONEY ISLAND AVENUE",1,0,0,0,0,0,1,0,"Unspecified","Unspecified",NA,NA,NA,4701168,"Station Wagon/Sport Utility Vehicle","Sedan",NA,NA,NA
2024-02-07,08:00:00,"MANHATTAN",10001,40.7509,-73.99812,"(40.7509, -73.99812)","WEST 30 STREET","9 AVENUE",NA,0,0,0,0,0,0,0,0,"Passing Too Closely","Unspecified",NA,NA,NA,4701601,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
2024-02-07,19:39:00,"BROOKLYN",11229,40.60379,-73.95444,"(40.60379, -73.95444)","AVENUE S","EAST 18 STREET",NA,1,0,0,0,0,0,1,0,"Unspecified","Unspecified",NA,NA,NA,4701000,"Sedan","Sedan",NA,NA,NA
2024-02-07,20:40:00,NA,NA,40.881992,-73.87718,"(40.881992, -73.87718)","WAYNE AVENUE",NA,NA,0,0,0,0,0,0,0,0,"Passing Too Closely","Unspecified",NA,NA,NA,4701554,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
2024-02-09,15:45:00,"BROOKLYN",11234,40.617382,-73.943474,"(40.617382, -73.943474)","KINGS HIGHWAY","AVENUE N",NA,1,0,1,0,0,0,0,0,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion",NA,NA,NA,NA,4701387,"Sedan",NA,NA,NA,NA
2024-02-08,08:44:00,NA,NA,40.859623,-73.88747,"(40.859623, -73.88747)","EAST FORDHAM ROAD","BATHGATE AVENUE",NA,0,0,0,0,0,0,0,0,"Passing or Lane Usage Improper","Unspecified","Unspecified",NA,NA,4701287,"Station Wagon/Sport Utility Vehicle","Sedan","Station Wagon/Sport Utility Vehicle",NA,NA
2024-02-08,18:07:00,NA,NA,40.757008,-73.96388,"(40.757008, -73.96388)","1 AVENUE",NA,NA,1,0,1,0,0,0,0,0,"Driver Inattention/Distraction",NA,NA,NA,NA,4701226,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
2024-02-01,20:11:00,"QUEENS",11372,40.75657,-73.87585,"(40.75657, -73.87585)",NA,NA,"92-15     NORTHERN BOULEVARD",0,0,0,0,0,0,0,0,"Backing Unsafely","Unspecified",NA,NA,NA,4701402,"Sedan","Tow Truck / Wrecker",NA,NA,NA
2024-02-09,21:24:00,"BROOKLYN",11219,40.62284,-74.00121,"(40.62284, -74.00121)","14 AVENUE","OVINGTON AVENUE",NA,1,0,0,0,0,0,1,0,"Unspecified","Unspecified",NA,NA,NA,4701654,"Sedan","Sedan",NA,NA,NA
2024-02-07,20:15:00,NA,NA,40.806343,-73.93318,"(40.806343, -73.93318)","HARLEM RIVER DRIVE",NA,NA,1,0,0,0,0,0,1,0,"Unsafe Speed","Unspecified","Unspecified","Unspecified",NA,4701050,"Sedan","Sedan","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",NA
